MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
In Good Hands 2,ROMANCE,5.3,988.0,99
Switch Up,ROMANCE,8.6,29.0,105
Pure Love,ROMANCE,7.1,191.0,109
Miracle Mile,ROMANCE,9.1,30.0,82
Romeo,ROMANCE,6.1,1300.0,150
Honeymoonish,ROMANCE,5.3,1600.0,100
Happiness Is,ROMANCE,3.9,303.0,96
The Holiday Exchange,ROMANCE,5.6,415.0,90
Beauty and the Billionaire: Bali,ROMANCE,5.8,221.0,91
Pasutri Gaje,ROMANCE,6.0,348.0,109
A '90s Christmas,ROMANCE,6.0,1100.0,90
Choices,ROMANCE,4.4,6.0,87
Pon Ondru Kanden,ROMANCE,5.6,281.0,120
Honey Money Phony,ROMANCE,6.2,206.0,115
Ciao bambino,ROMANCE,6.6,87.0,100
Across the Sea,ROMANCE,6.5,79.0,112
Jatt & Juliet 3,ROMANCE,5.4,1800.0,135
Life is Filled with So Much of You,ROMANCE,7.2,71.0,99
Her Seyin Basi Merkür,ROMANCE,2.8,164.0,105
Meet Me in Rome,ROMANCE,5.2,687.0,85
Sex Love Venice,ROMANCE,5.2,332.0,102
¿Quién quiere casarse con un Astronauta?,ROMANCE,7.5,17.0,94
Trisha on the Rocks,ROMANCE,5.2,3000.0,172
Liu mang qu mo shi,ROMANCE,5.7,50.0,104
One Night in Tokyo,ROMANCE,7.2,84.0,95
Premalo,ROMANCE,7.3,1100.0,128
Chainsaws Were Singing,ROMANCE,7.2,382.0,117
Miss You,ROMANCE,6.1,3200.0,128
Shark Island,ROMANCE,3.2,117.0,81
The Heartbreak Agency,ROMANCE,5.3,737.0,94
Under Parallel Skies,ROMANCE,5.6,837.0,110
O Melhor Amigo,ROMANCE,7.2,71.0,96
Albany Road,ROMANCE,7.6,111.0,135
Powder Pup,ROMANCE,6.1,78.0,89
"Love, Sitara",ROMANCE,5.3,304.0,105
Deyaler Desh,ROMANCE,6.9,130.0,139
Meeting Ms. Leigh,ROMANCE,9.0,80.0,117
Paper Flowers,ROMANCE,8.7,35.0,100
Seré breve al momento de morir,ROMANCE,6.1,43.0,78
Dreaming of You,ROMANCE,8.7,48.0,95
Fruitcake,ROMANCE,5.3,161.0,97
Love You to Debt,ROMANCE,6.2,765.0,135
The Great Gujarati Matrimony,ROMANCE,7.7,86.0,144
Love Me If You Dare,ROMANCE,4.3,479.0,128
My Boyfriend Is a Sex Worker,ROMANCE,5.4,17.0,50
Onegin,ROMANCE,7.0,1200.0,141
Alterlove,ROMANCE,8.1,14.0,90
The Private Eye,ROMANCE,3.8,159.0,115
Rose Rosy Te Gulab,ROMANCE,5.8,305.0,135
The Glory of Life,ROMANCE,6.6,445.0,98
Perfect Match,ROMANCE,6.6,340.0,101
Explosions in My Heart,ROMANCE,6.9,37.0,105
Say a Little Prayer,ROMANCE,8.6,46.0,103
Joli joli,ROMANCE,5.5,122.0,116
The Proud Princess,ROMANCE,6.5,131.0,84
Verliefd op Bali,ROMANCE,5.0,313.0,113
The Mediterranean Sea,ROMANCE,7.2,90.0,108
Lobola Man,ROMANCE,4.6,211.0,108
Little Hearts,ROMANCE,5.8,2200.0,136
Hearts Creek,ROMANCE,5.8,124.0,90
Heartsping : Teenieping of Love,ROMANCE,7.1,26.0,0
"María, Me Muero",ROMANCE,5.1,113.0,93
Throuple,ROMANCE,6.6,69.0,92
Un/Happy for You,ROMANCE,5.6,403.0,110
Seven Seas Seven Hills,ROMANCE,8.5,94.0,90
I Brake for Caterpillars,ROMANCE,3.8,28.0,93
Petta Rap,ROMANCE,4.2,1700.0,123
Pool & Party,ROMANCE,2.7,255.0,90
Dhruvathaare,ROMANCE,8.0,647.0,165
Oru Kattil Oru Muri,ROMANCE,4.6,61.0,125
Maru Mann Taru Thayu,ROMANCE,7.5,23.0,153
Shrek 5: The Contract - A Fan Made Film,ROMANCE,7.0,20.0,84
Christmas at Plumhill Manor,ROMANCE,6.1,505.0,87
Sevmek Yüzünden,ROMANCE,3.6,647.0,104
Noche De Bodas,ROMANCE,4.5,241.0,90
The Architecture of Love,ROMANCE,6.9,503.0,110
Omenavarkaat,ROMANCE,7.1,186.0,84
Love Is Never on Time,ROMANCE,8.8,60.0,110
Paalum Pazhavum,ROMANCE,4.9,179.0,147
Game On,ROMANCE,5.2,2300.0,140
Stranded Pearl,ROMANCE,6.0,27.0,90
A Merry Royal Christmas,ROMANCE,5.3,154.0,88
