MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Gone with the Dead,HORROR,4.4,48.0,96
Jugaremos en el bosque,HORROR,4.8,98.0,90
Jurnal Risa by Risa Saraswati,HORROR,4.4,301.0,92
Valari,HORROR,8.0,2600.0,135
Ghost Train,HORROR,3.8,5.0,95
Till Death Do Us Part,HORROR,6.3,280.0,108
Hellhounds,HORROR,3.4,178.0,81
The Blackwell Ghost 8,HORROR,6.1,402.0,69
The Seductress from Hell,HORROR,6.7,18.0,102
They Turned Us Into Killers,HORROR,2.7,259.0,86
Salem Witch Doll,HORROR,2.4,136.0,76
9 Windows,HORROR,3.7,320.0,82
Hu Die Da Shia,HORROR,4.7,43.0,102
Devil,HORROR,4.5,1600.0,118
Anatema,HORROR,4.2,217.0,91
The Sin,HORROR,5.3,349.0,103
Do Not Open,HORROR,2.6,266.0,91
You Shouldn't Have Let Me In,HORROR,4.1,181.0,84
Campton Manor,HORROR,3.4,232.0,83
OMG: O Manchi Ghost,HORROR,5.0,590.0,125
STEVE (A Minecraft Movie),HORROR,6.9,12.0,61
Cursed,HORROR,4.2,142.0,81
A Mother's Embrace,HORROR,5.8,604.0,90
Silence of the Prey,HORROR,3.8,297.0,97
The Killers,HORROR,6.1,77.0,119
Graveyard Shark,HORROR,3.4,229.0,97
Migraine,HORROR,8.6,24.0,65
Séance Games: Metaxu,HORROR,3.3,200.0,86
The Gesuidouz,HORROR,6.6,81.0,93
Manipula,HORROR,8.4,29.0,94
Bag of Lies,HORROR,3.8,582.0,96
Pater Noster and the Mission of Light,HORROR,7.3,139.0,0
Whisper of the Witch,HORROR,3.9,337.0,95
The Last Nightmare Part One,HORROR,5.8,78.0,50
Daft State,HORROR,6.4,48.0,0
The Banished,HORROR,5.6,21.0,97
Broken Bird,HORROR,5.8,126.0,99
Project Dorothy,HORROR,3.9,3200.0,80
"Spider Baby, or The Maddest Story Ever Told",HORROR,4.7,102.0,72
Nearing Death,HORROR,5.6,352.0,96
Dosen Ghaib: It's Nighttime or You Already Know,HORROR,4.2,302.0,94
The Hunted,HORROR,5.1,374.0,94
Mummy Shark,HORROR,2.0,180.0,66
Killington,HORROR,2.8,187.0,87
Run!,HORROR,3.5,102.0,86
All Hallows' Eve: Inferno,HORROR,4.3,132.0,74
Sam and Colby: The Legends of the Paranormal,HORROR,4.8,313.0,98
Winter Island,HORROR,4.6,178.0,102
Its Name Was Mormo,HORROR,3.6,123.0,93
Paku Tanah Jawa,HORROR,4.2,118.0,100
True Fear,HORROR,4.5,295.0,92
"Nanay, tatay",HORROR,7.1,55.0,120
Pasahero,HORROR,6.1,27.0,120
Vertical,HORROR,5.2,144.0,111
Jurassic Triangle,HORROR,2.4,286.0,84
Oculus,HORROR,6.0,15.0,113
Name the Demon,HORROR,3.5,167.0,77
Séance,HORROR,7.1,18.0,85
Carnage for Christmas,HORROR,4.5,347.0,69
The American Backyard,HORROR,6.2,165.0,107
A Wedding Story,HORROR,5.0,2200.0,110
The North Witch,HORROR,5.2,17.0,80
There's a Zombie Outside,HORROR,6.7,43.0,75
Amp House Massacre,HORROR,3.8,190.0,80
Don't Make a Sound,HORROR,4.0,39.0,80
Kuyang,HORROR,5.2,485.0,97
Lost Angels,HORROR,6.8,28.0,96
The Carters,HORROR,5.4,27.0,75
4:44 : Time of Fear,HORROR,5.3,21.0,44
Dinner with Leatherface,HORROR,7.4,34.0,106
Wild Animal,HORROR,8.2,13.0,19
Granny,HORROR,8.0,7.0,40
The Epidemic,HORROR,5.9,71.0,95
Effigy,HORROR,2.8,263.0,78
Cold Blows the Wind,HORROR,5.7,799.0,85
The Vord,HORROR,3.5,68.0,101
Shark Exorcist 2: Unholy Waters,HORROR,3.3,148.0,74
Huntress,HORROR,3.0,85.0,77
Las Tias,HORROR,4.8,261.0,87
Chateau,HORROR,4.0,289.0,83
"Hemet, or the Landlady Don't Drink Tea",HORROR,4.4,89.0,89
Guardian,HORROR,4.0,668.0,120
Ghost Island,HORROR,7.4,50.0,95
The Omicron Killer,HORROR,2.9,596.0,98
Dead Whisper,HORROR,3.8,558.0,88
Kifn,HORROR,7.3,693.0,100
Quadrant,HORROR,4.3,147.0,73
Followers,HORROR,3.6,255.0,74
Bloody Bridget,HORROR,7.0,54.0,81
The Girl in the Trunk,HORROR,3.4,348.0,90
Bhairadevi,HORROR,8.7,51.0,134
Water Horse,HORROR,5.9,240.0,85
Obayifo Project,HORROR,5.4,359.0,71
I Heard You Buy Souls,HORROR,3.1,49.0,88
Bangsal Isolasi,HORROR,4.7,170.0,76
This Never Happened,HORROR,4.7,383.0,90
Cursed in Baja,HORROR,6.4,28.0,80
The Naughty List of Mr. Scrooge,HORROR,4.5,208.0,90
Chain Reactions,HORROR,7.1,105.0,103
Tahoe Joe 2: The Sierra Nevada Bigfoot Conspiracy,HORROR,4.3,249.0,74
Visher,HORROR,4.2,383.0,65
Slashercise,HORROR,5.4,13.0,58
Camp Blood: Clown Shark,HORROR,3.2,89.0,70
The Bad Nun 3,HORROR,3.1,275.0,72
Janji Darah,HORROR,4.4,158.0,104
Ghost Killer,HORROR,7.0,80.0,105
Bhavanam: The Haunted House,HORROR,7.1,16.0,139
Alpacalypse,HORROR,6.0,32.0,77
Lampir,HORROR,5.5,194.0,97
The Woods Are Real,HORROR,2.4,463.0,80
Purgatory Station,HORROR,3.3,58.0,109
Stereoscope,HORROR,4.1,118.0,91
Camp Terror,HORROR,4.5,39.0,110
The Candy Store,HORROR,4.0,86.0,86
Space Sharks,HORROR,1.5,324.0,70
Spirit Riser,HORROR,6.6,35.0,98
Kutukan Calon Arang,HORROR,6.3,8.0,101
Retratos del Apocalipsis,HORROR,8.1,16.0,75
Ronggeng Kematian,HORROR,5.4,154.0,98
Bull Shark 3,HORROR,3.5,90.0,76
The Mermaid,HORROR,9.2,7.0,105
Ladybug,HORROR,5.5,34.0,107
The Alien Report,HORROR,4.6,153.0,81
Spirit Whisker: The Revenant,HORROR,5.5,51.0,109
Trizombie,HORROR,7.3,62.0,82
Z-Mom,HORROR,5.0,46.0,90
Passages of Nexus,HORROR,5.3,305.0,108
Tu Sangre,HORROR,4.4,96.0,81
Air Fryer Slaughter,HORROR,6.3,551.0,90
The House on Laura Anne Dr.,HORROR,4.4,656.0,75
Una ballena,HORROR,6.1,101.0,108
Salsa,HORROR,5.7,277.0,100
No Voltees,HORROR,5.5,215.0,94
Mother Maker Lover Taker,HORROR,5.6,38.0,99
Lizzie Lazarus,HORROR,4.2,107.0,91
Exorcism Chronicles: The Beginning,HORROR,6.4,121.0,85
For Sale,HORROR,4.9,675.0,115
200KG Vampire,HORROR,5.0,32.0,93
Bury Your Dead,HORROR,5.4,81.0,128
THEDÆMON,HORROR,6.9,42.0,87
Tide,HORROR,4.0,121.0,82
Missing Child Videotape,HORROR,6.6,59.0,104
Take Good Care,HORROR,6.4,5.0,101
Akkada Varu Ikkada Unnaru,HORROR,9.1,1000.0,103
The McKinney Family Home Videos,HORROR,5.1,34.0,68
Final Girl: Halloween,HORROR,4.6,109.0,85
Paranoia,HORROR,4.1,382.0,95
He Sees You When You're Sleeping,HORROR,4.2,150.0,83
The Clock,HORROR,3.4,40.0,80
C202,HORROR,7.4,2200.0,135
Protein,HORROR,6.4,66.0,100
Demo_n,HORROR,5.2,36.0,70
Massacre at Femur Creek,HORROR,6.7,555.0,82
Night Silence,HORROR,5.6,278.0,112
American Terror Tales 3,HORROR,2.6,50.0,58
The Sisters,HORROR,4.7,154.0,122
Hunters on a White Field,HORROR,4.9,462.0,100
Deadly Culture: Species X,HORROR,2.9,60.0,71
Holnap meghalok,HORROR,4.3,107.0,85
